persnum1,tcinpsty
0466,007800
0466,002700
0468,017800
0468,003000
0468,002000
0468,003300
0468,007000
0468,003600
0468,005400
0468,001400
0468,007500
0468,012100
0468,013500
0468,004400
0469,001000
0469,003800
0469,005300
0469,004000
0470,001300
0470,001400
0472,002800
0472,001900
0472,002200
0472,002100
0472,002600
0475,003000
0475,003100
0475,012200
0475,001000
0475,001600
0475,002300
0475,010800
0479,001300
0479,002400
0479,002000
0479,002800
0481,003600
0481,009500
0481,003600
0481,004900
0483,013100
0486,001100
0486,005100
0486,001600
0487,004000
0487,001400
0487,001500
0487,002200
0487,002800
0487,003300
0488,001300
0488,001400
0488,001300
0488,005900
0488,003300
0488,008300
0488,002400
0489,002000
0489,004400
0490,001500
0490,001100
0490,007300
0490,002100
0491,001100
0492,001400
0492,001600
0492,009000
0495,003900
0495,001800
0495,001900
0496,000900
0496,000900
0496,000700
0498,003900
0499,001700
0499,006800
0499,007100
0501,002100
0501,002100
0501,013600
0503,001600
0503,003000
0503,003500
0505,003500
0505,005900
0506,002800
0506,004500
0506,002800
0506,004500
0509,002200
0510,001500
0510,002300
0510,002400
0510,002600
0510,002300
0510,002300
0511,005800
0511,002000
0512,002100
0512,004300
0512,002100
0512,004300
0512,013500
0513,002000
0513,005500
0513,001300
0513,002700
0513,001800
0513,000700
0513,003300
0513,002900
0513,006800
0513,010700
0514,007700
0514,020200
0514,000700
0515,003100
0515,035900
0515,014200
0518,000600
0522,001900
0522,001500
0523,008400
0523,002100
0523,004500
0523,008300
0523,005900
0523,010200
0523,012100
0525,001500
0525,004300
0525,004300
0525,005000
0525,007200
0525,006500
0525,002400
0526,007200
0528,002800
0529,004400
0529,001600
0531,001200
0532,003700
0534,000600
0534,004600
0535,007300
0536,004700
0536,017400
0538,040700
0538,007000
0538,007500
0538,009400
0538,003300
0538,020300
0538,003300
0540,051300
0541,004800
0541,003800
0542,003000
0542,005900
0542,005100
0542,010400
0543,007800
0543,007800
0546,015300
0546,003200
0546,005900
0546,005900
0546,003200
0548,004300
0548,002000
0548,004900
0548,002000
0550,007800
0551,003200
0551,002600
0551,007800
0552,003100
0552,009700
0554,003300
0554,012400
0554,010100
0554,006500
0561,004400
0561,004400
0561,002700
0561,004100
0561,003900
0561,004900
0561,008400
0561,010900
0561,010400
0564,004900
0564,004200
0564,002700
0564,002900
0564,003900
0566,001000
0566,003200
0566,010400
0568,002900
0568,015300
0568,005500
0568,006400
0569,006200
0570,000700
0570,004500
0570,013500
0570,003900
0571,001900
0571,003400
0571,000700
0571,020000
0571,005100
0571,001300
0571,017100
0573,000400
0573,005000
0573,000600
0574,007800
0574,010300
0574,000700
0576,001600
0578,044700
0580,010000
0581,001600
0585,005000
0585,008500
0586,002600
0586,014000
0591,010900
0591,004100
0591,003300
0591,008300
0592,044200
0596,003200
0596,002400
0596,001000
0596,001000
0597,006600
0597,003900
0597,002600
0597,004500
0597,003200
0597,004000
0597,002700
0600,007600
0600,003600
0600,003900
0600,003000
0601,002100
0604,003200
0605,006400
0605,008500
0605,001800
0606,002800
0608,003800
0608,009800
0608,003100
0608,006500
0608,017000
0610,002700
0610,002700
0611,009800
0611,000900
0612,007200
0612,006200
0612,002300
0612,003800
0612,013300
0612,002400
0613,002800
0613,003300
0613,003600
0613,003400
0616,005800
0616,001500
0616,001500
0621,006200
0621,006500
0622,007500
0622,009100
0623,001100
0623,006100
0623,005400
0627,035800
0631,036700
0631,002000
0631,006200
0639,001200
0639,002000
0642,002200
0642,005100
0642,006900
0642,002100
0643,003000
0643,003000
0645,002900
0645,002000
0645,006200
0645,005900
0645,003300
0647,002200
0649,013100
0649,001300
0651,002600
0651,003600
0651,003400
0651,035300
0651,001200
0651,005200
0656,002400
0656,001300
0657,002700
0657,006700
0661,006400
0665,007500
0665,001000
0665,003100
0665,003000
0665,006100
0665,008500
0665,001300
0669,037600
0672,003200
0672,002000
0672,002900
0674,002700
0674,014100
0674,007400
0675,002400
0676,002200
0676,016100
0676,002900
0676,024100
0677,002000
0677,000800
0677,000400
0677,002200
0678,001100
0678,018000
0678,001100
0682,001300
0682,001100
0682,000900
0682,002000
0684,002400
0684,001000
0684,001500
0684,002200
0684,001900
0684,002600
0687,005100
0687,011800
0688,016000
0689,005200
0689,004800
0689,012300
0689,004800
0689,014000
0689,007100
0691,002100
0693,003900
0693,001200
0693,011000
0694,001900
0694,002600
0694,004000
0694,002700
0694,001700
0695,000900
0695,006400
0696,065700
0696,065700
0701,001500
0701,001200
0701,008800
0701,002200
0701,001800
0701,001100
0701,001800
0701,003900
0701,005100
0701,006100
0703,001700
0703,001900
0703,005200
0703,006200
0703,001800
0704,053500
0704,001300
0704,011900
0707,002000
0707,004000
0707,003400
0707,015600
0707,005600
0707,001800
0707,004800
0708,009500
0710,007900
0711,001300
0711,001900
0712,005200
0712,006000
0712,006200
0712,005900
0712,009700
0714,002300
0714,025100
0714,012400
0714,000900
0714,007100
0715,006800
0716,007700
0716,000800
0717,002400
0718,000800
0718,002100
0719,000800
0719,002100
0720,009100
0721,000600
0723,001500
0723,000800
0723,003900
0723,011200
0724,002300
0724,002000
0724,001200
0724,001000
0724,003100
0724,001800
0724,002900
0724,002900
0724,011200
0724,002400
0724,001400
0724,048900
0725,001800
0725,001100
0725,001700
0725,002400
0725,000800
0725,001300
0725,000900
0725,002900
0725,001600
0725,004500
0725,002400
0725,000800
0729,006000
0729,005800
0729,002300
0733,002900
0734,003000
0734,004100
0734,005400
0735,006000
0735,009400
0736,002700
0737,007400
0737,002000
0738,002200
0738,003800
0738,003800
0738,004600
0739,007100
0740,005600
0740,013300
0741,005400
0741,014300
0742,006900
0742,006800
0742,001400
0742,001800
0742,002000
0742,003000
0743,003800
0743,008000
0744,004200
0744,001800
0744,003900
0744,008400
0744,002500
0745,022500
0745,003700
0745,003500
0745,005600
0748,000500
0748,002900
0749,002200
0749,001700
0749,009100
0751,001900
0751,001300
0751,002000
0751,002400
0751,002500
0752,000600
0752,012800
0752,004600
0753,002500
0753,012800
0753,007500
0753,011800
0753,010300
0753,000800
0753,003600
0753,008000
0755,001400
0755,004700
0755,000900
0757,001300
0757,002700
0757,002300
0757,000600
0757,004300
0757,003800
0758,005000
0760,007500
0760,005100
0760,004200
0761,008100
0762,002600
0763,008700
0763,010100
0765,011600
0765,010500
0767,030900
0768,001900
0770,002300
0770,001700
0770,002000
0770,002700
0772,000800
0772,041600
0772,017500
0773,002700
0779,004000
0779,007700
0779,005300
0779,008800
0779,002900
0779,010500
0779,016500
0779,030600
0779,002300
0779,003000
0779,016500
0779,030600
0779,002300
0779,003000
0781,003100
0781,003000
0781,003100
0783,004500
0783,002500
0789,001800
0789,002400
0789,011000
0792,001700
0792,001900
0792,014600
0792,028100
0793,018200
0794,002300
0794,009700
0796,006400
0796,010100
0798,002300
0798,001800
0799,004500
0799,002500
0799,013800
0799,005900
0800,002600
0800,002900
0805,007100
0805,004400
0805,000900
0805,031100
0805,022100
0805,026200
0805,004700
0805,006800
0806,016900
0806,073700
0806,013000
0806,006900
0807,002700
0807,004200
0807,024800
0807,013700
0808,075600
0808,023500
0809,003100
0812,001500
0812,002700
0812,004800
0812,010000
0812,004300
0812,004600
0814,002600
0814,001900
0814,010700
0815,000600
0815,006500
0816,001300
0816,001300
0816,006600
0816,024000
0817,004800
0817,002100
0817,004500
0817,003300
0820,002200
0820,002100
0820,004400
0820,001000
0820,003600
0820,003900
0820,002300
0820,003200
0820,004000
0820,009400
0820,003000
0820,008600
0820,004700
0820,013400
0820,005300
0821,003800
0821,005700
0821,004100
0821,003700
0824,022400
0824,003300
0824,042800
0824,004400
0825,004400
0826,002400
0826,003000
0826,016300
0826,012100
0827,016300
0827,005300
0827,008800
0827,012200
0829,002000
0829,001000
0829,002300
0833,001800
0834,001300
0834,002900
0834,006800
0834,003300
0838,007100
0838,003600
0839,001300
0839,003100
0841,002300
0841,009000
0841,000800
0842,001400
0842,003600
0843,003200
0843,002700
0843,001200
0843,009400
0843,002400
0843,014400
0843,002000
0845,001000
0845,001100
0845,001300
0845,000900
0845,001400
0845,000900
0845,003600
0845,000800
0847,001000
0847,004300
0847,006900
0847,002200
0850,003400
0850,004000
0850,002600
0852,000700
0852,001400
0852,000500
0852,003400
0852,001800
0852,004700
0852,002300
0852,002200
0852,002500
0852,001700
0852,001600
0852,001700
0859,004700
0859,001000
0859,006900
0863,007300
0863,004300
0863,003800
0864,011400
0864,009300
0865,002100
0865,000900
0865,004300
0866,002700
0866,001000
0866,002500
0867,000700
0867,000900
0867,001300
0868,000400
0868,000400
0868,002400
0869,000800
0869,000800
0869,005200
0869,003200
0869,003600
0869,003500
0869,001700
0869,011100
0869,003100
0869,004700
0869,007300
0870,001700
0870,002800
0870,002300
0870,004700
0870,002900
0870,002200
0870,010800
0870,007700
0870,002100
0870,002300
0870,002400
0870,002400
0870,002800
0870,001500
0870,001300
0870,010300
0870,003800
0870,008100
0871,001500
0871,002200
0871,007500
0871,003100
0871,003400
0871,001200
0872,003700
0872,008400
0872,012900
0872,013300
0872,005300
0873,002200
0873,003000
0873,001300
0876,014000
0876,012800
0876,003800
0876,005600
0879,004100
0880,001700
0880,002000
0880,002800
0880,001500
0880,001900
0880,007800
0880,004400
0880,003500
0880,002200
0880,020800
0880,004100
0880,006200
0880,006100
0880,006600
0881,003400
0883,004300
0883,009000
0884,002600
0885,003600
0886,005600
0886,002400
0886,004400
0886,008400
0886,003500
